stock,trading_date,avg_sentiment,news_count
GOOG,2020-03-19,-0.37895,2
GOOG,2020-03-23,0.12156,10
GOOG,2020-03-24,0.0409,4
GOOG,2020-03-26,0.2164,6
GOOG,2020-03-30,-0.11228,5
GOOG,2020-03-31,0.0,3
GOOG,2020-04-01,-0.11790000000000002,4
GOOG,2020-04-02,-0.10525000000000004,2
GOOG,2020-04-06,0.484525,4
GOOG,2020-04-07,-0.006571428571428561,7
GOOG,2020-04-08,-0.03423333333333333,3
GOOG,2020-04-13,0.15181250000000002,8
GOOG,2020-04-14,0.33262,5
GOOG,2020-04-15,0.14546666666666666,3
GOOG,2020-04-16,-0.128,1
GOOG,2020-04-20,-0.10986,5
GOOG,2020-04-21,0.19775,6
GOOG,2020-04-22,0.021949999999999997,4
GOOG,2020-04-23,-0.22593333333333332,3
GOOG,2020-04-27,0.10815789473684212,19
GOOG,2020-04-28,0.21639,20
GOOG,2020-04-29,0.2202,2
GOOG,2020-04-30,0.1901,2
GOOG,2020-05-01,-0.1531,1
GOOG,2020-05-04,0.09329000000000001,10
GOOG,2020-05-05,-0.148,2
GOOG,2020-05-06,0.2850333333333333,3
GOOG,2020-05-07,0.00516,5
GOOG,2020-05-11,0.1393142857142857,7
GOOG,2020-05-12,0.209575,4
GOOG,2020-05-13,0.0,2
GOOG,2020-05-14,0.27685,6
GOOG,2020-05-15,0.0,2
GOOG,2020-05-18,0.35085,2
GOOG,2020-05-19,0.1345,5
GOOG,2020-05-20,0.0,2
GOOG,2020-05-21,-0.09866666666666667,3
GOOG,2020-05-26,0.16584285714285715,7
GOOG,2020-05-27,-0.163125,8
GOOG,2020-05-28,0.0051600000000000005,5
GOOG,2020-06-01,0.118475,4
GOOG,2020-06-04,0.0,1
GOOG,2020-06-05,-0.4110333333333333,3
GOOG,2020-06-08,0.5423,1
GOOG,2020-06-09,0.0,2
GOOG,2020-06-10,0.29583333333333334,3
META,2020-02-18,0.1909,2
META,2020-02-19,0.3286,2
META,2020-02-20,0.02099999999999998,4
META,2020-02-24,0.1097,8
META,2020-02-25,0.0,2
META,2020-02-26,-0.1665,3
META,2020-02-27,0.04403333333333332,6
META,2020-03-02,0.15539999999999998,5
META,2020-03-04,0.03413333333333332,9
META,2020-03-05,-0.07974,5
META,2020-03-09,-0.185875,12
META,2020-03-10,0.025814285714285717,7
META,2020-03-11,-0.28175,2
META,2020-03-12,0.31096666666666667,3
META,2020-03-16,0.17324444444444442,9
META,2020-03-17,-0.02394,5
META,2020-03-18,0.4847,2
META,2020-03-19,-0.056575,4
META,2020-03-23,-0.004842857142857141,7
META,2020-03-24,-0.06518333333333334,6
META,2020-03-25,0.0053500000000000075,4
META,2020-03-26,0.19443333333333335,3
META,2020-03-30,0.1636125,8
META,2020-03-31,0.0,1
META,2020-04-01,0.09545,4
META,2020-04-02,-0.0547,4
META,2020-04-03,0.4404,1
META,2020-04-06,0.2506333333333333,6
META,2020-04-07,0.19437500000000002,4
META,2020-04-08,0.0,4
META,2020-04-13,0.1594,5
META,2020-04-14,0.2676,3
META,2020-04-15,0.07533,10
META,2020-04-16,0.4063,2
META,2020-04-20,-0.03934,10
META,2020-04-21,0.07863750000000001,8
META,2020-04-22,0.2992,2
META,2020-04-23,0.010899999999999998,5
META,2020-04-24,0.0,1
META,2020-04-27,0.03558,5
META,2020-04-28,0.13426315789473686,19
META,2020-04-29,0.15565833333333334,36
META,2020-04-30,0.03558,5
META,2020-05-01,-0.07655,2
META,2020-05-04,-0.009325,4
META,2020-05-05,0.0,2
META,2020-05-06,0.29475,4
META,2020-05-07,0.0,3
META,2020-05-11,-0.1646,3
META,2020-05-12,-0.082225,4
META,2020-05-13,0.044475,4
META,2020-05-14,0.2129,7
META,2020-05-15,0.0,1
META,2020-05-18,0.06752727272727273,11
META,2020-05-19,0.21624,5
META,2020-05-20,0.1117375,16
META,2020-05-21,0.21230000000000002,3
META,2020-05-26,-0.021438461538461535,13
META,2020-05-27,0.06545909090909091,22
META,2020-05-28,-0.09143333333333332,3
META,2020-06-01,-0.18996,10
META,2020-06-08,0.25,1
META,2020-06-09,-0.07324999999999998,4
META,2020-06-10,0.26372,5
NVDA,2011-03-02,-0.5719,1
NVDA,2011-03-07,-0.08116666666666666,6
NVDA,2011-03-08,0.0,3
